name;title;vision;weapon;gender;nation;affiliation;description;constellation;rarity;card;constellation-1;constellation-2;constellation-3;constellation-4;constellation-5;constellation-6;gacha-card;gacha-splash;icon;icon-big;icon-side;portrait;talent-burst;talent-na;talent-passive-0;talent-passive-1;talent-passive-2;talent-skill
Bennett;Trial by Fire;Pyro;Sword;Male;Mondstadt;Adventurers' Guild;A righteous and good-natured adventurer from Mondstadt who's unfortunately extremely unlucky.;https://genshin.jmp.blue/characters/bennett/constellation;4;https://genshin.jmp.blue/characters/bennett/card;https://genshin.jmp.blue/characters/bennett/constellation-1;https://genshin.jmp.blue/characters/bennett/constellation-2;https://genshin.jmp.blue/characters/bennett/constellation-3;https://genshin.jmp.blue/characters/bennett/constellation-4;https://genshin.jmp.blue/characters/bennett/constellation-5;https://genshin.jmp.blue/characters/bennett/constellation-6;https://genshin.jmp.blue/characters/bennett/gacha-card;https://genshin.jmp.blue/characters/bennett/gacha-splash;https://genshin.jmp.blue/characters/bennett/icon;https://genshin.jmp.blue/characters/bennett/icon-big;https://genshin.jmp.blue/characters/bennett/icon-side;https://genshin.jmp.blue/characters/bennett/portrait;https://genshin.jmp.blue/characters/bennett/talent-burst;https://genshin.jmp.blue/characters/bennett/talent-na;https://genshin.jmp.blue/characters/bennett/talent-passive-0;https://genshin.jmp.blue/characters/bennett/talent-passive-1;https://genshin.jmp.blue/characters/bennett/talent-passive-2;https://genshin.jmp.blue/characters/bennett/talent-skill
Candace;Golden Vow;Hydro;Polearm;Female;Sumeru;Aaru Village;A descendant of King Deshret with an amber left eye. The defender of Aaru Village.;https://genshin.jmp.blue/characters/candace/constellation;4;https://genshin.jmp.blue/characters/candace/card;https://genshin.jmp.blue/characters/candace/constellation-1;https://genshin.jmp.blue/characters/candace/constellation-2;https://genshin.jmp.blue/characters/candace/constellation-3;https://genshin.jmp.blue/characters/candace/constellation-4;https://genshin.jmp.blue/characters/candace/constellation-5;https://genshin.jmp.blue/characters/candace/constellation-6;https://genshin.jmp.blue/characters/candace/gacha-card;https://genshin.jmp.blue/characters/candace/gacha-splash;https://genshin.jmp.blue/characters/candace/icon;https://genshin.jmp.blue/characters/candace/icon-big;https://genshin.jmp.blue/characters/candace/icon-side;https://genshin.jmp.blue/characters/candace/portrait;https://genshin.jmp.blue/characters/candace/talent-burst;https://genshin.jmp.blue/characters/candace/talent-na;https://genshin.jmp.blue/characters/candace/talent-passive-0;https://genshin.jmp.blue/characters/candace/talent-passive-1;https://genshin.jmp.blue/characters/candace/talent-passive-2;https://genshin.jmp.blue/characters/candace/talent-skill
Charlotte;Lens of Verity;Cryo;Catalyst;Female;Fontaine;The Steambird;Indefatigable reporter of The Steambird, constantly on the hunt for the "truth.";https://genshin.jmp.blue/characters/charlotte/constellation;4;https://genshin.jmp.blue/characters/charlotte/card;https://genshin.jmp.blue/characters/charlotte/constellation-1;https://genshin.jmp.blue/characters/charlotte/constellation-2;https://genshin.jmp.blue/characters/charlotte/constellation-3;https://genshin.jmp.blue/characters/charlotte/constellation-4;https://genshin.jmp.blue/characters/charlotte/constellation-5;https://genshin.jmp.blue/characters/charlotte/constellation-6;https://genshin.jmp.blue/characters/charlotte/gacha-card;https://genshin.jmp.blue/characters/charlotte/gacha-splash;https://genshin.jmp.blue/characters/charlotte/icon;https://genshin.jmp.blue/characters/charlotte/icon-big;https://genshin.jmp.blue/characters/charlotte/icon-side;https://genshin.jmp.blue/characters/charlotte/portrait;https://genshin.jmp.blue/characters/charlotte/talent-burst;https://genshin.jmp.blue/characters/charlotte/talent-na;https://genshin.jmp.blue/characters/charlotte/talent-passive-0;https://genshin.jmp.blue/characters/charlotte/talent-passive-1;https://genshin.jmp.blue/characters/charlotte/talent-passive-2;https://genshin.jmp.blue/characters/charlotte/talent-skill
Chevreuse;Executor of Justice;Pyro;Polearm;Female;Fontaine;Special Security and Surveillance Patrol;The captain of the Special Security and Surveillance Patrol, who wears justice as an ever-present seal upon her heart. Her musket shall only ever point at the guilty.;https://genshin.jmp.blue/characters/chevreuse/constellation;4;https://genshin.jmp.blue/characters/chevreuse/card;https://genshin.jmp.blue/characters/chevreuse/constellation-1;https://genshin.jmp.blue/characters/chevreuse/constellation-2;https://genshin.jmp.blue/characters/chevreuse/constellation-3;https://genshin.jmp.blue/characters/chevreuse/constellation-4;https://genshin.jmp.blue/characters/chevreuse/constellation-5;https://genshin.jmp.blue/characters/chevreuse/constellation-6;https://genshin.jmp.blue/characters/chevreuse/gacha-card;https://genshin.jmp.blue/characters/chevreuse/gacha-splash;https://genshin.jmp.blue/characters/chevreuse/icon;https://genshin.jmp.blue/characters/chevreuse/icon-big;https://genshin.jmp.blue/characters/chevreuse/icon-side;https://genshin.jmp.blue/characters/chevreuse/portrait;https://genshin.jmp.blue/characters/chevreuse/talent-burst;https://genshin.jmp.blue/characters/chevreuse/talent-na;https://genshin.jmp.blue/characters/chevreuse/talent-passive-0;https://genshin.jmp.blue/characters/chevreuse/talent-passive-1;https://genshin.jmp.blue/characters/chevreuse/talent-passive-2;https://genshin.jmp.blue/characters/chevreuse/talent-skill
Chongyun;Frozen Ardor;Cryo;Claymore;Male;Liyue;Liyue Harbor;A young exorcist from a family of exorcists. He does everything he can to suppress his abundance of yang energy.;https://genshin.jmp.blue/characters/chongyun/constellation;4;https://genshin.jmp.blue/characters/chongyun/card;https://genshin.jmp.blue/characters/chongyun/constellation-1;https://genshin.jmp.blue/characters/chongyun/constellation-2;https://genshin.jmp.blue/characters/chongyun/constellation-3;https://genshin.jmp.blue/characters/chongyun/constellation-4;https://genshin.jmp.blue/characters/chongyun/constellation-5;https://genshin.jmp.blue/characters/chongyun/constellation-6;https://genshin.jmp.blue/characters/chongyun/gacha-card;https://genshin.jmp.blue/characters/chongyun/gacha-splash;https://genshin.jmp.blue/characters/chongyun/icon;https://genshin.jmp.blue/characters/chongyun/icon-big;https://genshin.jmp.blue/characters/chongyun/icon-side;https://genshin.jmp.blue/characters/chongyun/portrait;https://genshin.jmp.blue/characters/chongyun/talent-burst;https://genshin.jmp.blue/characters/chongyun/talent-na;https://genshin.jmp.blue/characters/chongyun/talent-passive-0;https://genshin.jmp.blue/characters/chongyun/talent-passive-1;https://genshin.jmp.blue/characters/chongyun/talent-passive-2;https://genshin.jmp.blue/characters/chongyun/talent-skill
Collei;;Dendro;Bow;Female;Sumeru;Avidya Forest Ranger Trainee;Oh, you're going to Sumeru? Can you give my regards to Collei? Well... it's been so long, I wonder if her hair has grown out and if she's taller? — Amber;https://genshin.jmp.blue/characters/collei/constellation;4;https://genshin.jmp.blue/characters/collei/card;https://genshin.jmp.blue/characters/collei/constellation-1;https://genshin.jmp.blue/characters/collei/constellation-2;https://genshin.jmp.blue/characters/collei/constellation-3;https://genshin.jmp.blue/characters/collei/constellation-4;https://genshin.jmp.blue/characters/collei/constellation-5;https://genshin.jmp.blue/characters/collei/constellation-6;https://genshin.jmp.blue/characters/collei/gacha-card;https://genshin.jmp.blue/characters/collei/gacha-splash;https://genshin.jmp.blue/characters/collei/icon;https://genshin.jmp.blue/characters/collei/icon-big;https://genshin.jmp.blue/characters/collei/icon-side;https://genshin.jmp.blue/characters/collei/portrait;https://genshin.jmp.blue/characters/collei/talent-burst;https://genshin.jmp.blue/characters/collei/talent-na;https://genshin.jmp.blue/characters/collei/talent-passive-0;https://genshin.jmp.blue/characters/collei/talent-passive-1;https://genshin.jmp.blue/characters/collei/talent-passive-2;https://genshin.jmp.blue/characters/collei/talent-skill
Cyno;Judicator of Secrets;Electro;Polearm;Female;Sumeru;Temple of Silence;The General Mahamatra of the Akademiya, leader of all the Matras. He has a unique sense of humor that never fails to leave a deep impression.;https://genshin.jmp.blue/characters/cyno/constellation;5;https://genshin.jmp.blue/characters/cyno/card;https://genshin.jmp.blue/characters/cyno/constellation-1;https://genshin.jmp.blue/characters/cyno/constellation-2;https://genshin.jmp.blue/characters/cyno/constellation-3;https://genshin.jmp.blue/characters/cyno/constellation-4;https://genshin.jmp.blue/characters/cyno/constellation-5;https://genshin.jmp.blue/characters/cyno/constellation-6;https://genshin.jmp.blue/characters/cyno/gacha-card;https://genshin.jmp.blue/characters/cyno/gacha-splash;https://genshin.jmp.blue/characters/cyno/icon;https://genshin.jmp.blue/characters/cyno/icon-big;https://genshin.jmp.blue/characters/cyno/icon-side;https://genshin.jmp.blue/characters/cyno/portrait;https://genshin.jmp.blue/characters/cyno/talent-burst;https://genshin.jmp.blue/characters/cyno/talent-na;https://genshin.jmp.blue/characters/cyno/talent-passive-0;https://genshin.jmp.blue/characters/cyno/talent-passive-1;https://genshin.jmp.blue/characters/cyno/talent-passive-2;https://genshin.jmp.blue/characters/cyno/talent-skill
Dehya;Flame-Mane;Pyro;Claymore;Female;Sumeru;The Eremites;A member of the Eremites, a mercenary organization that roams the sands of Sumeru. Valiant and powerful, she enjoys great fame amongst her fellow Eremites.;https://genshin.jmp.blue/characters/dehya/constellation;5;https://genshin.jmp.blue/characters/dehya/card;https://genshin.jmp.blue/characters/dehya/constellation-1;https://genshin.jmp.blue/characters/dehya/constellation-2;https://genshin.jmp.blue/characters/dehya/constellation-3;https://genshin.jmp.blue/characters/dehya/constellation-4;https://genshin.jmp.blue/characters/dehya/constellation-5;https://genshin.jmp.blue/characters/dehya/constellation-6;https://genshin.jmp.blue/characters/dehya/gacha-card;https://genshin.jmp.blue/characters/dehya/gacha-splash;https://genshin.jmp.blue/characters/dehya/icon;https://genshin.jmp.blue/characters/dehya/icon-big;https://genshin.jmp.blue/characters/dehya/icon-side;https://genshin.jmp.blue/characters/dehya/portrait;https://genshin.jmp.blue/characters/dehya/talent-burst;https://genshin.jmp.blue/characters/dehya/talent-na;https://genshin.jmp.blue/characters/dehya/talent-passive-0;https://genshin.jmp.blue/characters/dehya/talent-passive-1;https://genshin.jmp.blue/characters/dehya/talent-passive-2;https://genshin.jmp.blue/characters/dehya/talent-skill
Diluc;The Dark Side of Dawn;Pyro;Claymore;Male;Mondstadt;Dawn Winery;The tycoon of a winery empire in Mondstadt, unmatched in every possible way.;https://genshin.jmp.blue/characters/diluc/constellation;5;https://genshin.jmp.blue/characters/diluc/card;https://genshin.jmp.blue/characters/diluc/constellation-1;https://genshin.jmp.blue/characters/diluc/constellation-2;https://genshin.jmp.blue/characters/diluc/constellation-3;https://genshin.jmp.blue/characters/diluc/constellation-4;https://genshin.jmp.blue/characters/diluc/constellation-5;https://genshin.jmp.blue/characters/diluc/constellation-6;https://genshin.jmp.blue/characters/diluc/gacha-card;https://genshin.jmp.blue/characters/diluc/gacha-splash;https://genshin.jmp.blue/characters/diluc/icon;https://genshin.jmp.blue/characters/diluc/icon-big;https://genshin.jmp.blue/characters/diluc/icon-side;https://genshin.jmp.blue/characters/diluc/portrait;https://genshin.jmp.blue/characters/diluc/talent-burst;https://genshin.jmp.blue/characters/diluc/talent-na;https://genshin.jmp.blue/characters/diluc/talent-passive-0;https://genshin.jmp.blue/characters/diluc/talent-passive-1;https://genshin.jmp.blue/characters/diluc/talent-passive-2;https://genshin.jmp.blue/characters/diluc/talent-skill
Diona;Kätzlein Cocktail;Cryo;Bow;Female;Mondstadt;The Cat's Tail;A young lady who has inherited trace amounts of non-human blood. She is the incredibly popular bartender of the Cat's Tail tavern.;https://genshin.jmp.blue/characters/diona/constellation;4;https://genshin.jmp.blue/characters/diona/card;https://genshin.jmp.blue/characters/diona/constellation-1;https://genshin.jmp.blue/characters/diona/constellation-2;https://genshin.jmp.blue/characters/diona/constellation-3;https://genshin.jmp.blue/characters/diona/constellation-4;https://genshin.jmp.blue/characters/diona/constellation-5;https://genshin.jmp.blue/characters/diona/constellation-6;https://genshin.jmp.blue/characters/diona/gacha-card;https://genshin.jmp.blue/characters/diona/gacha-splash;https://genshin.jmp.blue/characters/diona/icon;https://genshin.jmp.blue/characters/diona/icon-big;https://genshin.jmp.blue/characters/diona/icon-side;https://genshin.jmp.blue/characters/diona/portrait;https://genshin.jmp.blue/characters/diona/talent-burst;https://genshin.jmp.blue/characters/diona/talent-na;https://genshin.jmp.blue/characters/diona/talent-passive-0;https://genshin.jmp.blue/characters/diona/talent-passive-1;https://genshin.jmp.blue/characters/diona/talent-passive-2;https://genshin.jmp.blue/characters/diona/talent-skill
Dori;Treasure of Dream Garden;Electro;Claymore;Female;Sumeru;Sumeru Merchant;An elusive merchant who has a fondness for glittering Mora.;https://genshin.jmp.blue/characters/dori/constellation;4;https://genshin.jmp.blue/characters/dori/card;https://genshin.jmp.blue/characters/dori/constellation-1;https://genshin.jmp.blue/characters/dori/constellation-2;https://genshin.jmp.blue/characters/dori/constellation-3;https://genshin.jmp.blue/characters/dori/constellation-4;https://genshin.jmp.blue/characters/dori/constellation-5;https://genshin.jmp.blue/characters/dori/constellation-6;https://genshin.jmp.blue/characters/dori/gacha-card;https://genshin.jmp.blue/characters/dori/gacha-splash;https://genshin.jmp.blue/characters/dori/icon;https://genshin.jmp.blue/characters/dori/icon-big;https://genshin.jmp.blue/characters/dori/icon-side;https://genshin.jmp.blue/characters/dori/portrait;https://genshin.jmp.blue/characters/dori/talent-burst;https://genshin.jmp.blue/characters/dori/talent-na;https://genshin.jmp.blue/characters/dori/talent-passive-0;https://genshin.jmp.blue/characters/dori/talent-passive-1;https://genshin.jmp.blue/characters/dori/talent-passive-2;https://genshin.jmp.blue/characters/dori/talent-skill
Eula;Dance of the Shimmering Wave;Cryo;Claymore;Female;Mondstadt;Knights of Favonius;The Spindrift Knight, a scion of the old aristocracy, and the Captain of the Knights of Favonius Reconnaissance Company. The reason for which a descendant of the ancient nobles might join the Knights remains a great mystery in Mondstadt to this very day.;https://genshin.jmp.blue/characters/eula/constellation;5;https://genshin.jmp.blue/characters/eula/card;https://genshin.jmp.blue/characters/eula/constellation-1;https://genshin.jmp.blue/characters/eula/constellation-2;https://genshin.jmp.blue/characters/eula/constellation-3;https://genshin.jmp.blue/characters/eula/constellation-4;https://genshin.jmp.blue/characters/eula/constellation-5;https://genshin.jmp.blue/characters/eula/constellation-6;https://genshin.jmp.blue/characters/eula/gacha-card;https://genshin.jmp.blue/characters/eula/gacha-splash;https://genshin.jmp.blue/characters/eula/icon;https://genshin.jmp.blue/characters/eula/icon-big;https://genshin.jmp.blue/characters/eula/icon-side;https://genshin.jmp.blue/characters/eula/portrait;https://genshin.jmp.blue/characters/eula/talent-burst;https://genshin.jmp.blue/characters/eula/talent-na;https://genshin.jmp.blue/characters/eula/talent-passive-0;https://genshin.jmp.blue/characters/eula/talent-passive-1;https://genshin.jmp.blue/characters/eula/talent-passive-2;https://genshin.jmp.blue/characters/eula/talent-skill
