ID,Name,Group,Power,Age,Nationality,Hero/Villain
74,Oracle,Birds of Prey,Information analysis,35,American,Hero
75,Lady Shiva,Birds of Prey,Master martial artist,40,Asian,Hero
76,Katana,Birds of Prey,Soultaker sword,30,Japanese,Hero
77,Harley Quinn,Birds of Prey,Acrobatics,30,American,Villain
78,Black Mask,Birds of Prey,Hand-to-hand combat,40,American,Villain
79,Bumblebee,Teen Titans,Size manipulation,25,American,Hero
80,Argent,Teen Titans,Energy constructs,20,American,Hero
81,Terra,Teen Titans,Earth manipulation,16,American,Hero
82,Kid Flash,Teen Titans,Superhuman speed,20,American,Hero
83,Jericho,Teen Titans,Telepathy,26,American,Hero
84,Aqualad,Teen Titans,Hydrokinesis,21,Atlantean,Hero
85,Thunder,Outsiders,Shockwave generation,28,American,Hero
86,Grace,Outsiders,Enhanced strength,28,American,Hero
87,Looker,Outsiders,Telepathy,29,American,Hero
88,Atom Smasher,Outsiders,Size manipulation,31,American,Hero
89,Halo,Outsiders,Energy manipulation,16,American,Hero
90,Batwing,Bat Family,Technological suit,26,American,Hero
91,Spoiler,Bat Family,Stealth,22,American,Hero
92,Orphan,Bat Family,Stealth,20,American,Hero
93,Azrael,Bat Family,Master swordsman,32,American,Hero
94,Man-Bat,Villains,Flight,40,American,Villain
95,Killer Croc,Villains,Enhanced strength,40,American,Villain
96,Clayface,Villains,Shapeshifting,35,American,Villain
97,Mad Hatter,Villains,Mind control,45,American,Villain
98,Blackfire,Villains,Energy projection,25,Tamaranean,Villain
99,Trigon,Villains,Demonic powers,1000,Demon,Villain
100,Maxie Zeus,Villains,Control over electricity,50,Greek,Villain

